Identifikasjonsnr,Objekttype,Beskrivende datering,Ervervelse
NG.K&H.B.15064,Billedkunst,Antagelig ca. 1600,Kjøpt fra Siegwald Dahls dødsbo 1903
NG.K&H.B.15065,Billedkunst,Antagelig midten av 1700-tallet,
NG.K&H.B.15066,Billedkunst,Mellom 1600 og 1640,Kjøpt fra Siegwald Dahls dødsbo 1903
NG.K&H.B.15067,Billedkunst,Antagelig mellom 1640 og 1680,Kjøpt fra Siegwald Dahls dødsbo 1903
NG.K&H.B.15068,Billedkunst,Antagelig mellom 1640 og 1680,Kjøpt fra Siegwald Dahls dødsbo 1903
NG.K&H.B.15069,Billedkunst,Antagelig mellom 1710 og 1767,Kjøpt  av Sophus Larpent 1894
NG.K&H.B.15069VERSO,Billedkunst,,Kjøpt  av Sophus Larpent 1894
NG.K&H.B.15070,Billedkunst,Antagelig siste halvdel av 1500-tallet,Kjøpt fra Siegwald Dahls dødsbo 1903
NG.K&H.B.15071,Billedkunst,Antagelig ca. 1700,Kjøpt av Cathrine Dahl 1893
NG.K&H.B.15072,Billedkunst,Antagelig siste halvdel av 1600-tallet,Ervervelsesopplysninger under arbeid
NG.K&H.B.15073,Billedkunst,Antagelig begynnelsen av 1600-tallet,Antagelig kjøpt fra Siegwald Dahls dødsbo 1903
NG.K&H.B.15074,Billedkunst,Antagelig første halvdel av 1700-tallet,Kjøpt fra Siegwald Dahls dødsbo 1903
NG.K&H.B.15075,Billedkunst,Antagelig ca. 1700,Antagelig kjøpt fra Siegwald Dahls dødsbo 1903
NG.K&H.B.15076,Billedkunst,Antagelig ca. 1700,Antagelig kjøpt fra Siegwald Dahls dødsbo 1903
NG.K&H.B.15077,Billedkunst,Antagelig mellom 1690 og 1740,Antagelig kjøpt fra Siegwald Dahls dødsbo 1903
NG.K&H.B.15078,Billedkunst,Antagelig mellom 1750 og 1780,Ervervelsesopplysninger under arbeid
NG.K&H.B.15078VERSO,Billedkunst,Antagelig mellom 1750 og 1780,Ervervelsesopplysninger under arbeid
NG.K&H.B.15079,Billedkunst,Antagelig ca. 1600,Kjøpt fra Siegwald Dahls dødsbo 1903
NG.K&H.B.15080,Billedkunst,Antagelig mellom 1650 og 1710,Kjøpt fra Siegwald Dahls dødsbo 1903
NG.K&H.B.15081,Billedkunst,Antagelig mellom 1675 og 1713,"Testamentarisk gave fra Sophus Larpent, innkommet 1914 "
NG.K&H.B.15082,Billedkunst,Antagelig mellom 1650 og 1713,Kjøpt fra Siegwald Dahls dødsbo 1903
NG.K&H.B.15083,Billedkunst,Antagelig ca. 1600,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.15084,Billedkunst,Antagelig mellom 1570 og 1628,Antagelig kjøpt fra Siegwald Dahls dødsbo 1903
NG.K&H.B.15085,Billedkunst,Antagelig mellom 1570 og 1628,Kjøpt fra Siegwald Dahls dødsbo 1903
NG.K&H.B.15086,Billedkunst,Antagelig mellom 1710 og 1765,Kjøpt av Cathrine Dahl 1893
NG.K&H.B.15087,Billedkunst,Antagelig mellom 1710 og 1765,Antagelig kjøpt fra Siegwald Dahls dødsbo 1903
NG.K&H.B.15088,Billedkunst,Antagelig mellom 1675 og 1736,"Gave fra Ludvig Malthe, år ukjent"
NG.K&H.B.15088VERSO,Billedkunst,,"Gave fra Ludvig Malthe, år ukjent"
NG.K&H.B.15089,Billedkunst,Antagelig mellom 1700 og 1746,Kjøpt av Sophus Larpent 1894
NG.K&H.B.15090,Billedkunst,Antagelig mellom 1640 og 1684,Gave fra Ludvig Malthe 1894
NG.K&H.B.15091,Billedkunst,Antagelig siste halvdel av 1600-tallet,Kjøpt fra Siegwald Dahls dødsbo 1903
NG.K&H.B.15092,Billedkunst,Antagelig mellom 1800 og 1835,Kjøpt av Sophus Larpent 1894
NG.K&H.B.15092VERSO,Billedkunst,Antagelig mellom 1800 og 1835,Kjøpt av Sophus Larpent 1894
NG.K&H.B.15093,Billedkunst,Antagelig mellom 1800 og 1835,Muligens kjøpt fra Siegwald Dahls dødsbo 1903    
NG.K&H.B.15094,Billedkunst,Antagelig mellom 1800 og 1835,Ervervelsesopplysninger under arbeid
NG.K&H.B.15095,Billedkunst,Antagelig midten av 1700-tallet,Antagelig kjøpt fra Siegwald Dahls dødsbo 1903
NG.K&H.B.15096,Billedkunst,Antagelig mellom 1590 og 1625,Ervervelsesopplysninger under arbeid
NG.K&H.B.15097,Billedkunst,Antagelig første halvdel av 1500-tallet,"Testamentarisk gave fra Sophus Larpent, innkommet 1914 "
NG.K&H.B.15098,Billedkunst,Antagelig første halvdel av 1500-tallet,Ervervelsesopplysninger under arbeid
NG.K&H.B.15099,Billedkunst,Antagelig siste halvdel av 1500-tallet  ,Ervervelsesopplysninger under arbeid
