KunstnerNøkkel,Fornavn kunstner,Etternavn kunstner,FØDT,DØD,Antall verk
Anne-LoisGirodet de Roussy-Trioson1767,Anne-Lois,Girodet de Roussy-Trioson,1767,1824,1
Philippe-AugusteHennequin1763,Philippe-Auguste,Hennequin,1763,1833,2
Raymond de laFage1656,Raymond de la,Fage,1656,1690,6
Roger de laFresnaye1885,Roger de la,Fresnaye,1885,1925,1
SimonLantara1729,Simon,Lantara,1729,1778,1
Charles LeBrun1619,Charles Le,Brun,1619,1690,6
Pierre-LouisPrud'hon1758,Pierre-Louis,Prud'hon,1758,1823,1
HyacintheRigaud1659,Hyacinthe,Rigaud,1659,1743,1
JacquesStella1596,Jacques,Stella,1596,1657,1
Claude-JosephVernet1714,Claude-Joseph,Vernet,1714,1789,3
SimonVouet1590,Simon,Vouet,1590,1649,1
AntoineWatteau1684,Antoine,Watteau,1684,1721,6
Philippe deChampaigne1602,Philippe de,Champaigne,1602,1674,1
Jean-BaptisteDeshays1729,Jean-Baptiste,Deshays,1729,1765,1
Jean BaptisteGreuze1725,Jean Baptiste,Greuze,1725,1805,5
Jean MichelMoreau1741,Jean Michel,Moreau,1741,1811,1
Jean-MarcNattier1685,Jean-Marc,Nattier,1685,1766,1
Pierre-AlexandreWille1748,Pierre-Alexandre,Wille,1748,1821,1
Jean Baptiste MariePierre1713,Jean Baptiste Marie,Pierre,1713,1789,1
HoraceVernet1789,Horace,Vernet,1789,1863,2
JanBrueghel d.e.1558,Jan,Brueghel d.e.,1558,1625,1
Frederik deMoucheron1633,Frederik de,Moucheron,1633,1686,1
NicolausMaes1634,Nicolaus,Maes,1634,1693,2
JoachimWtewael1566,Joachim,Wtewael,1566,1638,2
Hendrik vanSteenwyck (I)1550,Hendrik van,Steenwyck (I),1550,1603,2
Gerard vanHonthorst1590,Gerard van,Honthorst,1590,1656,1
Marten deVos1531,Marten de,Vos,1531,1603,7
BartholomaeusSpranger1546,Bartholomaeus,Spranger,1546,1611,9
FransSnyders1579,Frans,Snyders,1579,1657,3
Jan vanHuysum1682,Jan van,Huysum,1682,1749,3
Paul vanVianen1613,Paul van,Vianen,1613,1652,2
Jan deBray1627,Jan de,Bray,1627,1697,2
WillemSchellinks1627,Willem,Schellinks,1627,1678,2
AdriaenBrouwer1605,Adriaen,Brouwer,1605,1638,1
Pieter vanBloemen1657,Pieter van,Bloemen,1657,1720,5
LeonardBramer1595,Leonard,Bramer,1595,1674,6
JanHackaert1628,Jan,Hackaert,1628,1712,2
JanAsselijn1610,Jan,Asselijn,1610,1652,3
Jacob van derUlft1627,Jacob van der,Ulft,1627,1689,4
Jan vanGoyen1596,Jan van,Goyen,1596,1656,8
Josua deGrave1640,Josua de,Grave,1640,1712,1
FrederikSustris1540,Frederik,Sustris,1540,1599,2
Abraham IJanssens1575,Abraham I,Janssens,1575,1632,1
AdamPynacker1622,Adam,Pynacker,1622,1673,3
AnthoniePalamedesz.1601,Anthonie,Palamedesz.,1601,1673,2
Adam Frans van derMeulen1632,Adam Frans van der,Meulen,1632,1690,3
DirckMaes1656,Dirck,Maes,1656,1715,1
Salomon vanRuysdael1600,Salomon van,Ruysdael,1600,1670,3
Jacquesd'Arthois1613,Jacques,d'Arthois,1613,1686,1
AntonSchoonjans1655,Anton,Schoonjans,1655,1726,2
MartinusSchouman1770,Martinus,Schouman,1770,1848,3
Hendrik van derStraaten1665,Hendrik van der,Straaten,1665,1722,1
AbrahamStorck1635,Abraham,Storck,1635,1710,2
Cornelius deWael1592,Cornelius de,Wael,1592,1667,1
MosesTerborch1645,Moses,Terborch,1645,1667,1
JacobOchtervelt1634,Jacob,Ochtervelt,1634,1682,1
HendrickVerschuring1627,Hendrick,Verschuring,1627,1690,1
Hendrik vanBalen I1575,Hendrik van,Balen I,1575,1632,1
GotthardRinggli1575,Gotthard,Ringgli,1575,1635,1
Willem van deVelde (II)1633,Willem van de,Velde (II),1633,1707,3
HendrikVerschuring1627,Hendrik,Verschuring,1627,1690,2
PhilipsWouwerman1619,Philips,Wouwerman,1619,1668,1
Gerbrand van denEeckhout1621,Gerbrand van den,Eeckhout,1621,1674,1
GillisMostaert1534,Gillis,Mostaert,1534,1598,1
FerrauFenzoni1562,Ferrau,Fenzoni,1562,1645,1
Willem van deVelde d.e.1611,Willem van de,Velde d.e.,1611,1693,2
JanWijnants1631,Jan,Wijnants,1631,1684,3
Abraham vanDiepenbeeck1596,Abraham van,Diepenbeeck,1596,1675,2
AlexanderKeirincx1600,Alexander,Keirincx,1600,1652,1
JanMartszen de Jonge1609,Jan,Martszen de Jonge,1609,1647,1
Ludolf deJongh1616,Ludolf de,Jongh,1616,1697,1
PeeterStevens1567,Peeter,Stevens,1567,1641,3
Pieter deGrebber1600,Pieter de,Grebber,1600,1653,1
Jan BaptistWeenix1621,Jan Baptist,Weenix,1621,1660,3
GovaertFlinck1615,Govaert,Flinck,1615,1660,2
Pieter Dircksz.Santvoort1604,Pieter Dircksz.,Santvoort,1604,1635,2
Hendrik van derBorght1583,Hendrik van der,Borght,1583,1660,1
JacobHoefnagel jr.1575,Jacob,Hoefnagel jr.,1575,1629,1
Jacob van derDoes1623,Jacob van der,Does,1623,1673,1
Willem vanBemmel1630,Willem van,Bemmel,1630,1708,3
AllaertClaesz1508,Allaert,Claesz,1508,1555,1
Frans van (the elder)Mieris1635,Frans van (the elder),Mieris,1635,1681,1
Willem vanMieris1662,Willem van,Mieris,1662,1747,1
Joseph jr.Bergler1753,Joseph jr.,Bergler,1753,1829,9
Jacob ChristoffelLeblow1667,Jacob Christoffel,Leblow,1667,1741,1
Anton RaphaelMengs1728,Anton Raphael,Mengs,1728,1779,10
Carl GustavCarus1789,Carl Gustav,Carus,1789,1869,155
JohannAchen1552,Johann,Achen,1552,1615,4
Friedrich HeinrichFüger1751,Friedrich Heinrich,Füger,1751,1818,2
Johann JacobEybelwieser1667,Johann Jacob,Eybelwieser,1667,1744,2
Ferdinand WolfgangFlachenecker1792,Ferdinand Wolfgang,Flachenecker,1792,1847,7
JuliusHübner1806,Julius,Hübner,1806,1882,1
WilhelmHahn1829,Wilhelm,Hahn,1829,1887,11
TobiasStimmer1539,Tobias,Stimmer,1539,1584,4
AngelicaKauffmann1741,Angelica,Kauffmann,1741,1807,1
Norbert Joseph CarlGrund1717,Norbert Joseph Carl,Grund,1717,1767,1
Johann TheodorGoldstein1798,Johann Theodor,Goldstein,1798,1871,2
Christian ErnstStölzel1792,Christian Ernst,Stölzel,1792,1837,2
Johann GottfriedSchadow1764,Johann Gottfried,Schadow,1764,1850,1
Friedrich IPreller1804,Friedrich I,Preller,1804,1878,1
OscarPletsch1830,Oscar,Pletsch,1830,1888,1
JürgenOvens1623,Jürgen,Ovens,1623,1678,2
Daniel der JüngereLindtmeyer1552,Daniel der Jüngere,Lindtmeyer,1552,1606,1
JohannKupetzky1667,Johann,Kupetzky,1667,1740,1
HermannKauffmann1808,Hermann,Kauffmann,1808,1889,7
MarquardWocher1760,Marquard,Wocher,1760,1830,5
MichaelWillmann1630,Michael,Willmann,1630,1706,6
Johann FriedrichWeitsch1723,Johann Friedrich,Weitsch,1723,1802,2
HansWeiner1575,Hans,Weiner,1575,1619,2
SimonWagner1799,Simon,Wagner,1799,1829,5
Johann GeorgWagner1744,Johann Georg,Wagner,1744,1767,6
F.Voigt1800,F.,Voigt,1800,1800,1
HeinrichFreudweiler1755,Heinrich,Freudweiler,1755,1795,1
Johann FranzErmels1621,Johann Franz,Ermels,1621,1693,1
PeterCaulitz1650,Peter,Caulitz,1650,1719,2
Leendert vanCooghen1610,Leendert van,Cooghen,1610,1681,1
Johann AndreasWolff1652,Johann Andreas,Wolff,1652,1716,1
HeinrichSchønfeld1809,Heinrich,Schønfeld,1809,1845,8
Johann G. MelchiorSchmittner1625,Johann G. Melchior,Schmittner,1625,1705,1
MartinSchongauer1450,Martin,Schongauer,1450,1491,3
Johann DavidSchubert1761,Johann David,Schubert,1761,1822,2
AlexanderThiele1685,Alexander,Thiele,1685,1752,2
Christian LeberechtVogel1759,Christian Leberecht,Vogel,1759,1816,3
Tiberius D.Wocher1728,Tiberius D.,Wocher,1728,1799,1
Hans SebaldLautensack1520,Hans Sebald,Lautensack,1520,1566,1
Karl FriedrichLessing1808,Karl Friedrich,Lessing,1808,1880,2
Johann FriedrichMätthai1777,Johann Friedrich,Mätthai,1777,1845,1
AlexanderHerrmann1814,Alexander,Herrmann,1814,1845,4
FranzKobell1749,Franz,Kobell,1749,1822,8
Gustav HeinrichNaecke1786,Gustav Heinrich,Naecke,1786,1835,2
HugoKørber1843,Hugo,Kørber,1843,1883,1
Wilhelm vonKaulbach1804,Wilhelm von,Kaulbach,1804,1874,1
Johann QuirinJahn1739,Johann Quirin,Jahn,1739,1802,2
Theobald Reinhold vonOër1807,Theobald Reinhold von,Oër,1807,1885,2
JosephRaabe1780,Joseph,Raabe,1780,1845,1
PhilippRoos1655,Philipp,Roos,1655,1706,1
Johann CarlRössler1775,Johann Carl,Rössler,1775,1845,16
Michael ConradHirt1615,Michael Conrad,Hirt,1615,1695,1
MichaelWutky1739,Michael,Wutky,1739,1822,1
FranzSchüz1751,Franz,Schüz,1751,1781,1
SimonWarnberger1769,Simon,Warnberger,1769,1847,2
Joachim von ISandrart1606,Joachim von I,Sandrart,1606,1688,3
Aarnout TerHimpel1634,Aarnout Ter,Himpel,1634,1686,2
Paulus Constantijn laFargue1729,Paulus Constantijn la,Fargue,1729,1782,1
OswaldAchenbach1827,Oswald,Achenbach,1827,1905,2
Johan HeinrichKeller1692,Johan Heinrich,Keller,1692,1765,1
LeopoldFischer1813,Leopold,Fischer,1813,1870,1
FerdinandKönig1827,Ferdinand,König,1827,1894,1
Carl Theodor vonPiloty1826,Carl Theodor von,Piloty,1826,1886,3
Mary GranvilleDelany1700,Mary Granville,Delany,1700,1788,1
JosephRoos1726,Joseph,Roos,1726,1805,1
SamuelBottschild1640,Samuel,Bottschild,1640,1707,5
Heinrich vonArx1802,Heinrich von,Arx,1802,1858,1
Friedrich vonGärtner1824,Friedrich von,Gärtner,1824,1905,2
Johann FriedrichMatthäi1777,Johann Friedrich,Matthäi,1777,1845,6
RobertLanger1783,Robert,Langer,1783,1846,2
Johann PhilippLembke1631,Johann Philipp,Lembke,1631,1711,1
KarlAltmann1800,Karl,Altmann,1800,1861,1
ErnstHasse1819,Ernst,Hasse,1819,1860,2
ChristophJamnitzer1563,Christoph,Jamnitzer,1563,1618,3
Johann ChristianEzdorf1801,Johann Christian,Ezdorf,1801,1851,2
Johann Moritz GottfriedJentzsch1759,Johann Moritz Gottfried,Jentzsch,1759,1826,3
PhilippVeith1793,Philipp,Veith,1793,1877,3
Georg HeinrichCrola1804,Georg Heinrich,Crola,1804,1879,1
Johann EleazarSchenau1737,Johann Eleazar,Schenau,1737,1806,6
HenryRitter1816,Henry,Ritter,1816,1853,1
Edvard GustavSeydel1822,Edvard Gustav,Seydel,1822,1881,2
Joseph seniorBergler1718,Joseph senior,Bergler,1718,1788,1
Jan-Peter IBredael1654,Jan-Peter I,Bredael,1654,1745,1
Jan-Peter IIBredael1683,Jan-Peter II,Bredael,1683,1735,1
JosephThürmer1798,Joseph,Thürmer,1798,1833,1
FranzHorny1798,Franz,Horny,1798,1824,1
AntonFaistenberger1663,Anton,Faistenberger,1663,1708,1
JosephPetzl1803,Joseph,Petzl,1803,1871,1
FriedrichWolf1833,Friedrich,Wolf,1833,1884,1
Adolf ErnstMeissner1837,Adolf Ernst,Meissner,1837,1902,1
LudwigSchütze1806,Ludwig,Schütze,1806,1872,1
Thomas TheodorHeine1867,Thomas Theodor,Heine,1867,1948,4
PierreParrocel1670,Pierre,Parrocel,1670,1739,1
Jean-CharlesDelafosse1734,Jean-Charles,Delafosse,1734,1789,1
Gilles-MarieOppenort1672,Gilles-Marie,Oppenort,1672,1742,2
Bartolomé EstebanMurillo1618,Bartolomé Esteban,Murillo,1618,1682,1
JulesDupré1811,Jules,Dupré,1811,1889,1
Sir Edward ColeyBurne-Jones1833,Sir Edward Coley,Burne-Jones,1833,1898,1
JoshuaReynolds1723,Joshua,Reynolds,1723,1792,1
Louis deBoullogne d.y.1654,Louis de,Boullogne d.y.,1654,1733,1
Hendrick deClerck1570,Hendrick de,Clerck,1570,1629,1
ThomasGainsborough1727,Thomas,Gainsborough,1727,1788,1
Alfred AndréGeniole1813,Alfred André,Geniole,1813,1861,1
Sulpice GuillaumeGavarni1804,Sulpice Guillaume,Gavarni,1804,1866,1
PaoloPagani1661,Paolo,Pagani,1661,1716,1
Ferdinand PHHamilton1664,Ferdinand PH,Hamilton,1664,1750,3
Victor JeanAdam1801,Victor Jean,Adam,1801,1866,3
Karl GeorgEnslen1792,Karl Georg,Enslen,1792,1866,3
Christoph DanielHenning1734,Christoph Daniel,Henning,1734,1795,1
Carl Heinrich vonStolberg1761,Carl Heinrich von,Stolberg,1761,1804,1
CarlRöchling1855,Carl,Röchling,1855,1920,1
Jean leDucq1629,Jean le,Ducq,1629,1676,1
JuliusHellesen1823,Julius,Hellesen,1823,1877,1
PLa Cave1769,P,La Cave,1769,1815,2
Pier LeoneGhezzi1674,Pier Leone,Ghezzi,1674,1755,1
HjalmarJohnssen1852,Hjalmar,Johnssen,1852,1901,2
Hilda M.Flodin1877,Hilda M.,Flodin,1877,1958,1
AlfBjorhusdal1915,Alf,Bjorhusdal,1915,1995,1
GuyKrohg1917,Guy,Krohg,1917,2002,5
OleMæhle1904,Ole,Mæhle,1904,1990,4
KarlHøgberg1901,Karl,Høgberg,1901,1981,6
AlfLundeby1870,Alf,Lundeby,1870,1961,13
SvenErixson1899,Sven,Erixson,1899,1970,4
HaraldBertrand1856,Harald,Bertrand,1856,1890,1
KnudAgger1895,Knud,Agger,1895,1973,3
LilliSømme1869,Lilli,Sømme,1869,1934,1
JacquesVillon1875,Jacques,Villon,1875,1963,10
HenriLaurens1885,Henri,Laurens,1885,1954,2
WilhelmWetlesen1871,Wilhelm,Wetlesen,1871,1925,19
RaolDufy1877,Raol,Dufy,1877,1953,2
GeorgesRouault1871,Georges,Rouault,1871,1958,17
ElisabethSinding1846,Elisabeth,Sinding,1846,1930,6
ClemenceNielssen1850,Clemence,Nielssen,1850,1911,2
IngebrigtVik1867,Ingebrigt,Vik,1867,1927,13
AlbertGiacometti1901,Albert,Giacometti,1901,1966,1
JensSøndergaard1895,Jens,Søndergaard,1895,1957,4
WassilyKandinsky1860,Wassily,Kandinsky,1860,1922,1
Peter AndreasBlix1831,Peter Andreas,Blix,1831,1901,1
Holger JensJensen1900,Holger Jens,Jensen,1900,1966,1
LudvigKarsten1876,Ludvig,Karsten,1876,1926,62
RudolphThygesen1880,Rudolph,Thygesen,1880,1953,14
AndréDunoyer de Segonzac1884,André,Dunoyer de Segonzac,1884,1974,125
LulKrag1878,Lul,Krag,1878,1956,15
GunnarBerg1863,Gunnar,Berg,1863,1893,102
AmedeoModigliani1884,Amedeo,Modigliani,1884,1920,2
MaxErnst1891,Max,Ernst,1891,1976,2
JuanGris1887,Juan,Gris,1887,1927,1
AlbertGleizes1881,Albert,Gleizes,1881,1953,1
Carl VictorLind1906,Carl Victor,Lind,1906,1966,1
Stanley WilliamHayter1901,Stanley William,Hayter,1901,1988,4
KarlDørnberger1864,Karl,Dørnberger,1864,1940,7
GeorgesBraque1882,Georges,Braque,1882,1963,5
KaukoRantala1931,Kauko,Rantala,1931,1981,1
HarryHenriksson1907,Harry,Henriksson,1907,1981,1
AsbjørgBorgfelt1900,Asbjørg,Borgfelt,1900,1976,4
FransHuys1522,Frans,Huys,1522,1562,1
JacobBinck1500,Jacob,Binck,1500,1568,1
EmanuelVigeland1875,Emanuel,Vigeland,1875,1948,71
Jacob KiellandSømme1862,Jacob Kielland,Sømme,1862,1940,9
MarcusGrønvold1845,Marcus,Grønvold,1845,1929,21
AgostinoTassi1565,Agostino,Tassi,1565,1644,2
Friedrich August vonKaulbach1850,Friedrich August von,Kaulbach,1850,1920,1
WilliamEtty1787,William,Etty,1787,1849,1
FriedrichMoosbrugger1804,Friedrich,Moosbrugger,1804,1830,1
Anna MariaKaufmann1741,Anna Maria,Kaufmann,1741,1807,1
LambertSuavius1520,Lambert,Suavius,1520,1567,1
AnnaAnker1859,Anna,Anker,1859,1935,1
MattiPetäjä1912,Matti,Petäjä,1912,1995,1
RodolfoMargheri1919,Rodolfo,Margheri,1919,1967,1
SverreHjertsen1909,Sverre,Hjertsen,1909,1968,2
AalbertMeyiering1645,Aalbert,Meyiering,1645,1714,4
AntonRadigues1719,Anton,Radigues,1719,1765,1
Paul vanLiender1731,Paul van,Liender,1731,1797,1
RegnierPersyn1615,Regnier,Persyn,1615,1668,1
SamuelBlesendorff1633,Samuel,Blesendorff,1633,1706,1
Pierre Louis vanSchuppen1626,Pierre Louis van,Schuppen,1626,1702,1
ArneStenseng1907,Arne,Stenseng,1907,1980,4
SigridBølling1852,Sigrid,Bølling,1852,1917,2
EdwinScharff1887,Edwin,Scharff,1887,1955,1
WilliGeiger1878,Willi,Geiger,1878,1971,1
KarlSchmidt-Rottluff1884,Karl,Schmidt-Rottluff,1884,1976,23
OttoMueller1874,Otto,Mueller,1874,1930,3
MaxPechstein1881,Max,Pechstein,1881,1955,14
HermannStruck1876,Hermann,Struck,1876,1944,1
OssianElgstrøm1883,Ossian,Elgstrøm,1883,1950,4
ArneLofthus1881,Arne,Lofthus,1881,1962,38
Hans ChristianKnudsen1816,Hans Christian,Knudsen,1816,1863,1
DagRødsand1943,Dag,Rødsand,1943,1995,11
Carl FrederikDiriks1814,Carl Frederik,Diriks,1814,1895,2
Trygve MarentsiusDavidsen1895,Trygve Marentsius,Davidsen,1895,1978,3
PerEggen1933,Per,Eggen,1933,1976,1
AlbertChrist-Janer1910,Albert,Christ-Janer,1910,1973,1
RaimoKanerva1941,Raimo,Kanerva,1941,1999,1
GiorgioMorandi1890,Giorgio,Morandi,1890,1964,1
Wilh. Maxim.Carpelan1787,Wilh. Maxim.,Carpelan,1787,1830,1
JoachimGrøgaard1902,Joachim,Grøgaard,1902,1973,2
EndreNemes1909,Endre,Nemes,1909,1985,2
HansDahl1849,Hans,Dahl,1849,1937,553
Auguste Etienne FrançoisMayer1805,Auguste Etienne François,Mayer,1805,1880,41
JosephHecht1891,Joseph,Hecht,1891,1951,1
IverJåks1932,Iver,Jåks,1932,2007,13
John-WilliamEdy1760,John-William,Edy,1760,1820,80
EysteinHanche-Olsen1933,Eystein,Hanche-Olsen,1933,1983,1
AkseliGallen-Kallela1865,Akseli,Gallen-Kallela,1865,1931,1
BjarneFalck1866,Bjarne,Falck,1866,1911,1
JulesPascin1885,Jules,Pascin,1885,1930,6
GunnarBratlie1918,Gunnar,Bratlie,1918,1990,12
HallvardBlekastad1883,Hallvard,Blekastad,1883,1966,5
GirolamoSicciolante da Sermoneta1521,Girolamo,Sicciolante da Sermoneta,1521,1580,1
JuanFernandez de Navarrete1529,Juan,Fernandez de Navarrete,1529,1579,1
Carle vanLoo1705,Carle van,Loo,1705,1765,1
Kees vanDongen1877,Kees van,Dongen,1877,1968,1
LouisMoe1857,Louis,Moe,1857,1945,4
OddEinarson1910,Odd,Einarson,1910,1991,1
Jan R.Flaa1961,Jan R.,Flaa,1961,1990,3
ErnaPlachte1893,Erna,Plachte,1893,1986,7
SalvadorDali1904,Salvador,Dali,1904,1988,57
CharlesMeryon1821,Charles,Meryon,1821,1868,1
RodolpheBresdin1822,Rodolphe,Bresdin,1822,1885,1
Claes SamuelSandels1798,Claes Samuel,Sandels,1798,1865,19
HannesDerlick1906,Hannes,Derlick,1906,1990,3
AliceSalvesen1869,Alice,Salvesen,1869,1959,1
JulianeLangberg1856,Juliane,Langberg,1856,1930,3
OttoValstad1862,Otto,Valstad,1862,1950,2
ArnoldThornam1877,Arnold,Thornam,1877,1964,5
UtagawaKuniyasu1794,Utagawa,Kuniyasu,1794,1832,1
UtagawaKunimasa1773,Utagawa,Kunimasa,1773,1810,2
UtagawaYoshiiku1833,Utagawa,Yoshiiku,1833,1904,8
TsukiokaYoshitoshi1839,Tsukioka,Yoshitoshi,1839,1892,1
IvarArosenius1878,Ivar,Arosenius,1878,1909,2
Leif O.Kristiansen1953,Leif O.,Kristiansen,1953,1996,2
ToreDeinboll1910,Tore,Deinboll,1910,1988,4
Jens Zetlitz MonradKielland1866,Jens Zetlitz Monrad,Kielland,1866,1926,1
MatthiasStoltenberg1799,Matthias,Stoltenberg,1799,1871,24
FernandKhnopff1858,Fernand,Khnopff,1858,1921,1
AdelsteenNormann1848,Adelsteen,Normann,1848,1918,6
RagnhildKeyser1889,Ragnhild,Keyser,1889,1943,21
Eyolf NagellErichsen1908,Eyolf Nagell,Erichsen,1908,1979,10
AlfHartmann1906,Alf,Hartmann,1906,1953,3
HaraldHolthe1912,Harald,Holthe,1912,1940,1
BjarneRise1904,Bjarne,Rise,1904,1984,10
EilifAmundsen1930,Eilif,Amundsen,1930,2007,6
TrygveSlotfeldt1920,Trygve,Slotfeldt,1920,1996,1
Finn HenrikBodvin1928,Finn Henrik,Bodvin,1928,2002,1
EinarGranum1920,Einar,Granum,1920,1992,3
OthonFriesz1879,Othon,Friesz,1879,1949,3
GabrielKielland1871,Gabriel,Kielland,1871,1960,3
BernardoStrozzi1581,Bernardo,Strozzi,1581,1644,1
AndréDerain1880,André,Derain,1880,1954,4
AugusteRaffet1804,Auguste,Raffet,1804,1860,1
ThomasRowlandson1756,Thomas,Rowlandson,1756,1827,1
RobertThew1750,Robert,Thew,1750,1810,20
LuigiSchiavonetti1765,Luigi,Schiavonetti,1765,1810,2
JamesParker1750,James,Parker,1750,1805,1
PeterSimon d.y.1750,Peter,Simon d.y.,1750,1810,16
CarolineWatson1758,Caroline,Watson,1758,1814,1
ThomasRyder1746,Thomas,Ryder,1746,1810,7
IsaacTaylor1730,Isaac,Taylor,1730,1810,2
JosephCollyer1748,Joseph,Collyer,1748,1790,1
Anton FriedrichHarms1695,Anton Friedrich,Harms,1695,1745,1
Jan vanRavesteyn1570,Jan van,Ravesteyn,1570,1657,2
Abraham vanCuylenborch1620,Abraham van,Cuylenborch,1620,1658,1
Reyer ClaeszSuyker1590,Reyer Claesz,Suyker,1590,1653,1
Jan Davidsz. deHeem1606,Jan Davidsz. de,Heem,1606,1683,2
SalomonRombouts1650,Salomon,Rombouts,1650,1702,1
Balthasar van derAst1590,Balthasar van der,Ast,1590,1656,1
Egbert van derPoel1621,Egbert van der,Poel,1621,1664,2
PieterClaeissins (I)1500,Pieter,Claeissins (I),1500,1576,1
CornelisVroom1591,Cornelis,Vroom,1591,1661,1
Jan vanBrosterhuisen1596,Jan van,Brosterhuisen,1596,1650,1
FransPourbus (I)1545,Frans,Pourbus (I),1545,1581,1
RoelantSavery1576,Roelant,Savery,1576,1639,1
PeeterGysels1621,Peeter,Gysels,1621,1690,1
AndreaLocatelli1695,Andrea,Locatelli,1695,1741,1
Jan van derHeyden1637,Jan van der,Heyden,1637,1712,1
Melchiord'Hondecoeter1636,Melchior,d'Hondecoeter,1636,1695,1
Johann ConradSeekatz1719,Johann Conrad,Seekatz,1719,1768,1
ValerioCastello1624,Valerio,Castello,1624,1659,1
HieronymusFrancken (II)1578,Hieronymus,Francken (II),1578,1623,1
Rutilio di LorenzoManetti1571,Rutilio di Lorenzo,Manetti,1571,1639,1
Johann CarlLoth1632,Johann Carl,Loth,1632,1698,1
BenedettoGennari1633,Benedetto,Gennari,1633,1715,1
Quiringh vanBrekelenkam1622,Quiringh van,Brekelenkam,1622,1669,3
Antoni vanStralen1593,Antoni van,Stralen,1593,1641,1
Christian GeorgSchütz (I)1718,Christian Georg,Schütz (I),1718,1791,2
Joos deMomper (II)1564,Joos de,Momper (II),1564,1635,3
Johann GeorgDietrich1684,Johann Georg,Dietrich,1684,1752,1
KlaesMolenaer1630,Klaes,Molenaer,1630,1676,3
Jean BaptisteMonnoyer1636,Jean Baptiste,Monnoyer,1636,1699,1
AlexanderAdriaenssen1587,Alexander,Adriaenssen,1587,1661,1
Bernardus van deLaar1804,Bernardus van de,Laar,1804,1872,1
ChristianSeybold1697,Christian,Seybold,1697,1768,1
Jan Adriaensz. vanStaveren1625,Jan Adriaensz. van,Staveren,1625,1668,1
Claudius (Claus) (C. D.)Fritzsch1763,Claudius (Claus) (C. D.),Fritzsch,1763,1841,1
Bartholomeus van derHelst1612,Bartholomeus van der,Helst,1612,1670,1
Jan vanBijlert1603,Jan van,Bijlert,1603,1671,1
JacobToorenvliet1640,Jacob,Toorenvliet,1640,1719,2
Jan vanGool1685,Jan van,Gool,1685,1763,2
Wilhelm vanEhrenberg1637,Wilhelm van,Ehrenberg,1637,1676,1
Johannes JacobHartmann1680,Johannes Jacob,Hartmann,1680,1730,1
GaspardDughet1615,Gaspard,Dughet,1615,1675,1
Simon deVos1603,Simon de,Vos,1603,1676,1
Gerbrandt van denEeckhout1621,Gerbrandt van den,Eeckhout,1621,1674,1
Dirck vanBaburen1595,Dirck van,Baburen,1595,1624,1
HendrickBloemaert1601,Hendrick,Bloemaert,1601,1672,1
PetrBrandl1668,Petr,Brandl,1668,1736,1
Jan JosefHoremans (I)1682,Jan Josef,Horemans (I),1682,1759,1
Jan BaptisteLambrechts1680,Jan Baptiste,Lambrechts,1680,1731,1
CornelisLelienbergh1626,Cornelis,Lelienbergh,1626,1676,1
DomenicoMaggiotto1713,Domenico,Maggiotto,1713,1794,1
AernoutSmit1640,Aernout,Smit,1640,1710,1
Frans Xaver HendrikVerbeeck1686,Frans Xaver Hendrik,Verbeeck,1686,1755,1
Hendrik vanMinderhout1632,Hendrik van,Minderhout,1632,1696,1
"Michelangelo Merisi da, hans skoleCaravaggio1573","Michelangelo Merisi da, hans skole",Caravaggio,1573,1610,1
GodfriedSchalken1643,Godfried,Schalken,1643,1706,1
WilhelmTischbein1751,Wilhelm,Tischbein,1751,1829,1
GerritDonck1610,Gerrit,Donck,1610,1640,1
Carl JohanFahlcrantz1774,Carl Johan,Fahlcrantz,1774,1861,2
FrancescoCastiglione1641,Francesco,Castiglione,1641,1716,1
FransDecker1684,Frans,Decker,1684,1751,1
Pieter van derPlas1595,Pieter van der,Plas,1595,1650,1
JacobEsselens1626,Jacob,Esselens,1626,1687,1
Jacob vanSpreeuwen1611,Jacob van,Spreeuwen,1611,1650,1
Domenicus vanTol1631,Domenicus van,Tol,1631,1676,1
PederAls1727,Peder,Als,1727,1776,1
PhilipsKoning1619,Philips,Koning,1619,1688,1
Carl WilhelmHübner1814,Carl Wilhelm,Hübner,1814,1879,1
GillisRombouts1630,Gillis,Rombouts,1630,1678,1
Adriaen van deVenne1589,Adriaen van de,Venne,1589,1662,1
HendrickAvercamp1585,Hendrick,Avercamp,1585,1634,3
JanGriffier (I)1645,Jan,Griffier (I),1645,1718,1
Frederik vanValckenborch1570,Frederik van,Valckenborch,1570,1623,2
BalthasarDenner1685,Balthasar,Denner,1685,1749,2
Johanna MarianneFreystein1760,Johanna Marianne,Freystein,1760,1807,1
AntoineCoypel1661,Antoine,Coypel,1661,1722,1
EvelinaStading1797,Evelina,Stading,1797,1829,2
AmbrosiusFrancken (I)1544,Ambrosius,Francken (I),1544,1618,1
Karl FerdinandSohn1805,Karl Ferdinand,Sohn,1805,1867,1
August WilhelmLeu1819,August Wilhelm,Leu,1819,1897,1
RudolfJordan1810,Rudolf,Jordan,1810,1887,1
FrantsBøe1820,Frants,Bøe,1820,1891,5
AmalieLindegren1814,Amalie,Lindegren,1814,1891,3
LazareBruandet1755,Lazare,Bruandet,1755,1804,1
EduardGeselschap1814,Eduard,Geselschap,1814,1878,1
AndreaGastaldi1810,Andrea,Gastaldi,1810,1889,1
TheudeGrønland1817,Theude,Grønland,1817,1876,2
