id,artistId,produced,acquired,kind,imageCount
MS-00425-1988,6,1970,1988,Maleri,3
MS-00426-1988,282,1988,1988,Skulptur,1
MS-00427-1988,283,1988,1988,Skulptur,1
MS-00428-1988,79,1982,1988,Skulptur,1
MS-00429-1988,218,1985,1988,Skulptur,1
MS-00430-1988,195,1988,1988,Skulptur,1
MS-00431-1988,264,1988,1988,Skulptur,1
MS-00432-1988,284,1984,1988,Skulptur,1
MS-00433-1988,264,1985,1988,Skulptur,1
MS-00434-1988,281,1986,1988,Maleri,1
MS-00435-1988,167,1975,1988,Assemblage,1
MS-00436-1988,167,1975,1988,Assemblage,1
MS-00437-1988,285,1977,1988,Tekstil,1
MS-00438-1988,286,1964,1988,Maleri,1
MS-00439-1988,145,1972,1988,Maleri,1
MS-00440-1988,287,1975,1988,Maleri,1
MS-00441-1988,209,1975,1988,Maleri,1
MS-00443-1988,288,1970,1988,Maleri,3
MS-00444-1988,73,1983,1988,Maleri,3
MS-00445-1988,193,1980,1988,Maleri,1
MS-00446-1988,289,1981,1988,Maleri,1
MS-00447-1988,98,1976,1988,Maleri,3
MS-00448-1988,30,1970,1988,Maleri,1
MS-00449-1988,2,1956,1988,Maleri,1
MS-00451-1988,208,1977,1988,Tegning,1
MS-00452-1988,61,1980,1988,Maleri,3
MS-00453-1988,144,1981,1988,Maleri,1
MS-00454-1988,290,1973,1988,Maleri,1
MS-00455-1988,291,1952,1988,Maleri,1
MS-00456-1988,292,1979,1988,Maleri,1
MS-00457-1988,165,1982,1988,Maleri,1
MS-00458-1988,157,1961,1988,Maleri,5
MS-00459-1988,30,1976,1988,Maleri,1
MS-00460-1988,293,1974,1988,Maleri,1
MS-00462-1988,294,1988,1988,Maleri,1
MS-00463-1988,295,1972,1988,Maleri,1
MS-00464-1988,114,1978,1988,Maleri,2
MS-00465-1988,296,1982,1988,Maleri,1
MS-00466-1988,98,1979,1988,Maleri,3
MS-00467-1988,297,1981,1988,Materialbilde,1
MS-00468-1988,215,1981,1988,Maleri,1
MS-00469-1988,113,1979,1988,Livre d´artiste,1
MS-00470-1988,295,1976,1988,Maleri,1
MS-00471-1988,298,1979,1988,Maleri,1
MS-00472-1988,117,1970,1988,Maleri,1
MS-00473-1988,135,1982,1988,Maleri,1
MS-00474-1988,119,1976,1988,Maleri,1
